label,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
1,24_nh_A_B_H,0,0,89,0.731418614432494,0.6770332870410006,0.8105209397344226,0.4622751855074916,0.2550365195775934,0.919199320170512,0.0063804907781884,0.0
1,40_A_B_H,0,0,84,0.726158645276292,0.6690819179223053,0.8086007130124779,0.4539308929278009,0.2215587338536453,0.9348830447016562,0.006702013234671,0.0
0,19_nd_A_B_OC,62,0,107,0.7212254485481535,0.6639689851821107,0.7967664550952069,0.4442615165317977,0.6584666452362558,0.5945581309225871,0.0073395649689452,0.5794392523364486
1,16_A_B_H,0,74,89,0.694916781830199,0.6374248292526665,0.7763323919966347,0.3897724831952811,0.631939122893524,0.648504134196938,0.0055679259005736,0.0
0,26_A_B_OC,3,0,105,0.72987012987013,0.6777667528929713,0.8067481538069771,0.4598791365016119,0.6083571375654168,0.6813295541264761,0.0048315399605113,0.0285714285714285
1,22_A_B_H,0,0,103,0.7205233373137427,0.662538153518149,0.8021649966253049,0.4444943628604847,0.0710605300347355,0.9832869978119524,0.0051815984718389,0.0
0,5_A_B_OC,0,0,105,0.7258212375859439,0.6723310056350725,0.7953399541634834,0.4510766950146656,0.5829246162927871,0.7103501369647925,0.0059129334019236,0.0
1,4_A_B_H,0,93,98,0.7089108370620978,0.658576190933193,0.7848684928516857,0.4152102872546275,0.6101850379319467,0.6726422000443161,0.0056492801953161,0.0
1,26_nd_A_B_H,0,4,97,0.729284966095154,0.6716771164918705,0.802690335740669,0.4638014383307333,0.5876222953922914,0.6840967503510248,0.0051280585017913,0.0
1,33_A_B_H,0,0,92,0.7372413392234366,0.6847331193562409,0.8126598465473143,0.4761388159310172,0.0929478065842034,0.9763759966392636,0.0049978494705781,0.0
0,38_A_B_OC,3,0,107,0.7363686341146485,0.6855702164765889,0.8118346743965212,0.4726160818717769,0.5284736778133916,0.7631040764048125,0.0049507272226942,0.02803738317757
1,7_A_B_H,0,96,96,0.7004512032085563,0.6457566644629362,0.7588290998217463,0.3997582482570707,0.2279020812042612,0.932002572270247,0.0064304253127958,0.0
1,16_nd_A_B_H,0,109,109,0.7229063435215624,0.673645064039887,0.7910023058431043,0.442779769726363,0.5137293073821889,0.7743406257224741,0.0045894697936768,0.0
1,27_A_B_H,0,0,109,0.727518029730658,0.6718161856557631,0.8072167983123191,0.4564292606202818,0.1823887927913481,0.9489934403004092,0.0061707487590071,0.0
0,37_A_B_OC,75,0,82,0.7103495500195645,0.6498621387886052,0.7923242467718793,0.4230463922992868,0.638740922367606,0.6369817333872457,0.004383963164208,0.9146341463414634
1,17_nd_A_B_H,0,84,106,0.7058066794470792,0.6494104691759167,0.7798658056704669,0.410749904003812,0.6561856539469878,0.6059466715549463,0.0049259218092718,0.0
1,25_nd_A_B_H,0,113,113,0.7008896881359142,0.6466679237210202,0.7725379773792057,0.4011693199348363,0.4743936359438462,0.8059212679676201,0.0045082665596644,0.0
1,11_nd_A_B_H,0,0,119,0.7216555071226357,0.6592116075669642,0.8053071495978071,0.4476293430638297,0.3853369402495605,0.8593999800570263,0.0058237289781098,0.0
0,4_nd_A_B_OC,0,0,99,0.7227623831901905,0.6737179071374588,0.8026791984011235,0.4437089321631999,0.4868109995256309,0.7969899969104821,0.0054223896361626,0.0
1,12_A_B_H,0,2,111,0.7267427855663158,0.6735945765199475,0.8006214770920655,0.4526055482526549,0.5483166750924721,0.7408359309349537,0.0049258979797456,0.0
1,20_A_B_H,0,0,103,0.7276101967706764,0.6742062290258624,0.8072270390945436,0.4565632457240559,0.1313182028035089,0.9660255796402076,0.0050076117294436,0.0
0,3_A_B_OC,0,0,85,0.7365838313935197,0.6836945723096097,0.8067002201950296,0.4755586615370398,0.4031164563781835,0.8498233593377283,0.0047619748519957,0.0
0,21_nd_A_B_OC,16,0,93,0.7295152665171639,0.6767036323177685,0.8025127939738944,0.462084103228041,0.502803390267214,0.7605379367567976,0.0040051452905773,0.1720430107526881
