sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
pool3_S24_low,0,0,8,96,0.49334490740740716,0.3168003114880847,0.5096643518518519,-0.015076591633719662,0.5303047029915248,0.7451526197345345,0.006077075888022525,0.08333333333333333
pool5_S2_low,0,0,34,100,0.4931666666666665,0.3135655024497195,0.49455555555555547,-0.013800834273999966,0.5942236044244711,0.6711803486177844,0.007508327098141912,0.34
pool1_S3_low,0,0,38,100,0.4880555555555555,0.30984908804247174,0.4972222222222223,-0.027119915417961188,0.6547493363777156,0.6060096259436968,0.006622630627260255,0.38
pool2_S23_high,1,102,0,116,0.48836206896551704,0.29792571240275,0.4849377394636014,-0.02306925899490535,0.5345074567660505,0.7225017521728561,0.005001598737668204,0.8793103448275862
pool3_S17_low,0,0,18,100,0.49177777777777765,0.30900473714277704,0.48891666666666644,-0.010224840150481649,0.6283745538368279,0.6441205538505029,0.008337997256515775,0.18
pool2_S15_high,1,85,0,102,0.4783769063180828,0.2900477922527902,0.48099128540304986,-0.03913298046662634,0.6238715552663566,0.6537257584220677,0.007542419546965588,0.8333333333333334
pool1_S1_high,1,82,0,98,0.49319727891156456,0.3130654839678492,0.4922335600907028,-0.01384462456938147,0.6068270759049815,0.6560394956362509,0.0069495549269726975,0.8367346938775511
pool3_S5_low,0,0,73,84,0.48478835978835955,0.3242116848315848,0.48568121693121685,-0.030204863073353055,0.6156131937632321,0.6611564751501594,0.005355584595879106,0.8690476190476191
pool9_S1_low,0,0,45,89,0.4708489388264669,0.2878572832338441,0.4722846441947565,-0.059322241593754495,0.6497164653485858,0.6090993897759862,0.006396801977326322,0.5056179775280899
pool7_S6_high,1,15,0,108,0.5100308641975309,0.3536388414147493,0.5197530864197526,0.02034038173815273,0.6152732570014515,0.663940051943793,0.006923075074035614,0.1388888888888889
pool1_S5_low,0,0,35,93,0.48966547192353654,0.31305315297310476,0.4824970131421744,-0.019976855575386022,0.5935209180172997,0.6644196168545505,0.005676725307199049,0.3763440860215054
pool8_S9_low,0,0,50,85,0.48392156862745106,0.31531133279633183,0.4723529411764705,-0.03235273782839462,0.6497420822496901,0.6175243080538347,0.007628618113912231,0.5882352941176471
pool4_S10_low,0,0,28,95,0.49859649122807026,0.32884184993142046,0.4982456140350876,0.0036751581220831712,0.634525095927858,0.6310821734448299,0.00733383794395366,0.29473684210526313
