,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
87,24_A_B_H,0,0,96,0.694435160427808,0.6464455854090049,0.7564895276292337,0.3852586462514098,0.01669965672459232,0.9967669493445722,0.006012047230554583,0.0
88,10_nd_A_B_OC,0,0,95,0.6989867717421896,0.6500304357094903,0.7614973262032085,0.39622633689436876,0.5712840119644176,0.7270506197507254,0.006109906912591947,0.0
89,8_nd_A_B_H,0,104,104,0.6661610448375153,0.6189568739255217,0.7199969148498556,0.33222712627393164,0.5821814256980532,0.716731902465733,0.006717797243054774,0.0
90,7_nh_A_B_H,0,2,111,0.6839620369032136,0.6334890676618454,0.7450739509563039,0.3655941382531178,0.4386552110604798,0.7915363542011326,0.007045697594469365,0.0
91,15_A_B_OC,2,0,89,0.6859941116385267,0.6425469775439534,0.7352640749864806,0.36964191277150227,0.6056400421776715,0.693489527699881,0.006865976594883355,0.02247191011235955
92,5_A_B_H,0,0,99,0.6995354615675474,0.6515142906558494,0.7644358018689573,0.39740382410920294,0.30175469409600025,0.8850712968193243,0.006134527587201998,0.0
93,22_nd_A_B_OC,33,0,97,0.6830310380947129,0.6356203982024927,0.7304151276255582,0.3635803407887349,0.659906377141089,0.5990054113358231,0.007783831843108167,0.3402061855670103
94,44_A_B_H,0,0,81,0.6977289232191195,0.6478717079391009,0.7573776985541691,0.39162832995234403,0.006001060427383684,0.9989930163583219,0.007846396314336968,0.0
95,3_nd_A_B_H,0,5,104,0.6886312217194571,0.635836120807026,0.7489716166186753,0.37483049061128776,0.5884853628760506,0.6805830077537519,0.008198229362052481,0.0
96,10_A_B_OC,21,0,100,0.6936363636363638,0.6448596765204652,0.7551069518716578,0.3857737067599827,0.6582403879489237,0.6066497273199104,0.006719686209806032,0.21
97,5_A_B_OC,0,0,101,0.6869804627521575,0.6409844806855213,0.7530047122359295,0.3733576344511871,0.5443462129292894,0.7538289526787119,0.004738948415130911,0.0
98,25_nd_A_B_H,0,95,99,0.6596985901798735,0.6149638355757682,0.7175498298492953,0.3177274897733949,0.6217830747598488,0.6741207019712372,0.006464591405130578,0.0
99,37_A_B_OC,6,0,95,0.6794539825499579,0.6267174420142775,0.741936391781593,0.3581260045871184,0.6155361841156044,0.6733765543837811,0.007228113769748455,0.06315789473684211
100,16_nd_A_B_OC,2,0,87,0.6843997787202656,0.6378684545889318,0.736277583133567,0.36542144538738447,0.5726726202603533,0.7191574347476907,0.006578159970901482,0.022988505747126436
101,23_A_B_H,0,0,98,0.6903306777256359,0.6389758472062945,0.7508730765033286,0.3797658152787143,0.026597644809434214,0.9945358465997282,0.005468370208720288,0.0
102,47_A_B_H,0,0,79,0.6915995397008058,0.6390876390126454,0.7596628985311041,0.37961410299461085,0.0052430380332538235,0.9990837540487016,0.006237371795962389,0.0
103,4_nd_A_B_H,0,99,99,0.675633338734943,0.6283425727369114,0.7264624858207747,0.34933034903254684,0.5561773236511621,0.7424926420970935,0.007763676175085464,0.0
104,23_A_B_OC,94,0,97,0.6687799768454711,0.6167467153386346,0.7233585092893761,0.33664837429158817,0.4767490465328863,0.783802742093568,0.005475125845385491,0.9690721649484536
105,37_A_B_H,0,0,89,0.7029982575256866,0.6525533003183087,0.7580664543651986,0.4056905151260065,0.34383238901349256,0.876602944415474,0.005152002279795404,0.0
106,24_nd_A_B_H,0,93,106,0.664186257693472,0.620765639660935,0.725961053375038,0.3268868807992753,0.6455653210368011,0.6304402840349839,0.00509645663055125,0.0
107,17_A_B_H,0,77,98,0.6689403033940845,0.6223754565392875,0.7273000109134559,0.33885903319376776,0.6613368079565287,0.6013676388515135,0.0060155411492263545,0.0
